Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
08/09/2004,07.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,08.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,09.00.00,-200,1297.0,-200.0,"34,5",1654.0,-200.0,848.0,-200.0,1366.0,1611.0,"22,7","33,0","0,8987"
08/09/2004,10.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,11.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,12.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,13.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,14.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,15.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,16.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,17.00.00,"3,4",-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200
08/09/2004,18.00.00,4,1325.0,-200.0,"18,9",1266.0,477.0,926.0,188.0,1441.0,1543.0,"32,4","19,8","0,9484"
08/09/2004,19.00.00,"4,7",1383.0,-200.0,"24,1",1406.0,502.0,824.0,176.0,1582.0,1678.0,"29,9","22,3","0,9235"
08/09/2004,20.00.00,"3,8",1254.0,-200.0,"18,1",1241.0,420.0,873.0,163.0,1463.0,1431.0,"28,2","24,8","0,9360"
08/09/2004,21.00.00,"2,8",1221.0,-200.0,"15,8",1174.0,344.0,874.0,155.0,1481.0,1413.0,"26,8","28,9","1,0019"
08/09/2004,22.00.00,"2,6",1226.0,-200.0,"14,6",1138.0,307.0,862.0,146.0,1481.0,1419.0,"25,1","32,3","1,0131"
08/09/2004,23.00.00,2,1100.0,-200.0,"10,6",999.0,251.0,984.0,131.0,1361.0,1145.0,"25,4","30,5","0,9722"
09/09/2004,00.00.00,"1,4",999.0,-200.0,"7,5",879.0,180.0,1114.0,119.0,1261.0,960.0,"24,9","28,3","0,8775"
09/09/2004,01.00.00,"1,2",980.0,-200.0,"7,4",873.0,141.0,1088.0,98.0,1258.0,949.0,"23,2","30,5","0,8558"
09/09/2004,02.00.00,"0,6",859.0,-200.0,"3,8",698.0,105.0,1254.0,89.0,1157.0,819.0,"22,3","33,6","0,8959"
09/09/2004,03.00.00,"0,3",814.0,-200.0,"2,3",606.0,-200.0,1370.0,-200.0,1131.0,745.0,"23,0","33,0","0,9184"
09/09/2004,04.00.00,"0,2",806.0,-200.0,"2,3",605.0,74.0,1366.0,68.0,1132.0,725.0,"21,4","35,7","0,8982"
09/09/2004,05.00.00,"0,4",813.0,-200.0,"2,7",631.0,91.0,1327.0,65.0,1108.0,710.0,"21,7","33,4","0,8545"
09/09/2004,06.00.00,"0,6",889.0,-200.0,"4,9",760.0,143.0,1224.0,81.0,1213.0,806.0,"20,3","35,5","0,8342"
09/09/2004,07.00.00,3,1200.0,-200.0,"18,2",1246.0,553.0,798.0,136.0,1574.0,1416.0,"19,7","37,5","0,8501"
09/09/2004,08.00.00,"3,2",1289.0,-200.0,"21,4",1335.0,542.0,724.0,130.0,1681.0,1521.0,"21,0","35,6","0,8736"
09/09/2004,09.00.00,"3,5",1355.0,-200.0,"21,3",1333.0,590.0,741.0,157.0,1691.0,1605.0,"25,0","28,9","0,9025"
09/09/2004,10.00.00,"3,1",1277.0,-200.0,"19,9",1292.0,590.0,800.0,171.0,1626.0,1481.0,"31,0","21,9","0,9708"
09/09/2004,11.00.00,"2,2",1156.0,-200.0,"14,8",1142.0,387.0,907.0,143.0,1490.0,1188.0,"34,9","18,5","1,0189"
09/09/2004,12.00.00,"1,7",1054.0,-200.0,"12,6",1071.0,252.0,1006.0,116.0,1380.0,940.0,"37,1","15,0","0,9297"
09/09/2004,13.00.00,2,1096.0,-200.0,"13,0",1083.0,310.0,971.0,129.0,1430.0,986.0,"35,0","17,3","0,9542"
09/09/2004,14.00.00,"2,5",1160.0,-200.0,"16,2",1185.0,396.0,873.0,168.0,1522.0,1162.0,"35,1","17,5","0,9733"
09/09/2004,15.00.00,"2,4",1148.0,-200.0,"15,0",1149.0,329.0,924.0,152.0,1473.0,1047.0,"35,4","16,6","0,9385"
09/09/2004,16.00.00,"2,9",1166.0,-200.0,"16,2",1186.0,393.0,878.0,175.0,1500.0,1180.0,"38,4","13,8","0,9221"
09/09/2004,17.00.00,"4,2",1315.0,-200.0,"22,7",1370.0,522.0,794.0,212.0,1689.0,1399.0,"37,6","14,5","0,9277"
09/09/2004,18.00.00,"5,4",1425.0,-200.0,"32,3",1605.0,631.0,660.0,220.0,1920.0,2321.0,"35,2","16,6","0,9242"
09/09/2004,19.00.00,"4,3",1329.0,-200.0,"22,3",1360.0,435.0,704.0,175.0,1768.0,1894.0,"31,2","25,5","1,1379"
09/09/2004,20.00.00,"3,6",1299.0,-200.0,"16,6",1197.0,407.0,763.0,165.0,1688.0,1606.0,"29,3","30,7","1,2290"
09/09/2004,21.00.00,2,1123.0,-200.0,"11,0",1015.0,255.0,845.0,136.0,1470.0,1297.0,"28,3","30,1","1,1392"
09/09/2004,22.00.00,"1,5",1089.0,-200.0,"11,3",1024.0,180.0,831.0,111.0,1452.0,1182.0,"27,4","31,5","1,1330"
09/09/2004,23.00.00,"1,5",1081.0,-200.0,"9,3",950.0,186.0,876.0,114.0,1434.0,1138.0,"26,2","35,7","1,1929"
10/09/2004,00.00.00,"1,2",1031.0,-200.0,"7,3",871.0,147.0,950.0,96.0,1393.0,972.0,"25,2","38,1","1,2049"
10/09/2004,01.00.00,1,969.0,-200.0,"5,5",787.0,101.0,1035.0,75.0,1350.0,799.0,"24,4","39,1","1,1784"
10/09/2004,02.00.00,"0,5",881.0,-200.0,"3,5",680.0,69.0,1175.0,58.0,1251.0,630.0,"23,7","39,1","1,1289"
10/09/2004,03.00.00,"0,5",869.0,-200.0,"2,8",638.0,-200.0,1219.0,-200.0,1213.0,586.0,"24,2","38,5","1,1491"
10/09/2004,04.00.00,"0,4",866.0,-200.0,"2,9",644.0,49.0,1162.0,41.0,1218.0,629.0,"24,5","38,5","1,1688"
10/09/2004,05.00.00,"0,5",895.0,-200.0,"3,6",689.0,91.0,1134.0,55.0,1250.0,709.0,"22,4","43,5","1,1624"
10/09/2004,06.00.00,"0,7",933.0,-200.0,"5,5",786.0,144.0,1018.0,73.0,1306.0,858.0,"22,3","43,8","1,1631"
10/09/2004,07.00.00,"2,4",1209.0,-200.0,"15,5",1163.0,430.0,762.0,108.0,1606.0,1300.0,"21,4","45,8","1,1515"
10/09/2004,08.00.00,"4,1",1417.0,-200.0,"28,3",1511.0,606.0,587.0,147.0,1975.0,1676.0,"22,9","41,3","1,1383"
10/09/2004,09.00.00,3,1227.0,-200.0,"17,8",1233.0,519.0,739.0,150.0,1594.0,1384.0,"26,6","30,3","1,0378"
10/09/2004,10.00.00,2,1093.0,-200.0,"12,8",1076.0,353.0,871.0,131.0,1457.0,1125.0,"30,3","23,0","0,9770"
10/09/2004,11.00.00,"2,5",1135.0,-200.0,"15,7",1170.0,429.0,867.0,144.0,1523.0,1189.0,"32,8","18,9","0,9234"
10/09/2004,12.00.00,"2,4",1112.0,-200.0,"15,4",1161.0,345.0,866.0,151.0,1499.0,1088.0,"34,3","17,7","0,9416"
10/09/2004,13.00.00,"2,6",1147.0,-200.0,"15,6",1168.0,417.0,858.0,165.0,1492.0,1118.0,"33,3","18,9","0,9536"
10/09/2004,14.00.00,"1,9",1086.0,-200.0,"12,6",1070.0,276.0,907.0,135.0,1423.0,924.0,"33,0","20,1","0,9959"
10/09/2004,15.00.00,"2,1",1077.0,-200.0,"12,2",1056.0,280.0,908.0,143.0,1406.0,935.0,"33,6","19,6","1,0029"
10/09/2004,16.00.00,"2,5",1110.0,-200.0,"13,4",1098.0,365.0,882.0,153.0,1450.0,1009.0,"34,9","18,4","1,0106"
10/09/2004,17.00.00,"2,7",1146.0,-200.0,"14,3",1125.0,363.0,846.0,149.0,1511.0,1016.0,"33,4","20,3","1,0270"
10/09/2004,18.00.00,"3,3",1211.0,-200.0,"16,5",1194.0,393.0,797.0,164.0,1599.0,1188.0,"31,6","22,7","1,0410"
10/09/2004,19.00.00,"3,2",1218.0,-200.0,"17,4",1221.0,385.0,755.0,180.0,1599.0,1290.0,"29,2","26,9","1,0709"
